,data,godzina,dom,-,wyjazd,wynik,pusta
200,04/03/2023,14:00,Widzew Łódź,-,Warta Poznań,0:2 (0:1),
201,,16:30,Korona Kielce,-,Wisła Płock,1:0 (0:0),
202,,19:00,Górnik Zabrze,-,Legia Warszawa,0:1 (0:1),
203,05/03/2023,11:30,Miedź Legnica,-,Jagiellonia Białystok,1:1 (1:1),
204,,14:00,Pogoń Szczecin,-,Raków Częstochowa,0:2 (0:1),
205,,16:30,KS Cracovia,-,Śląsk Wrocław,1:1 (0:1),
206,06/03/2023,18:00,Radomiak Radom,-,Zagłębie Lubin,0:1 (0:1),
207,10/03/2023,17:00,Lechia Gdańsk,-,Miedź Legnica,4:0 (0:0),
208,,19:30,Raków Częstochowa,-,Śląsk Wrocław,4:1 (1:0),
209,11/03/2023,14:00,Korona Kielce,-,Radomiak Radom,2:1 (1:1),
210,,16:30,Zagłębie Lubin,-,Pogoń Szczecin,0:1 (0:0),
211,,19:00,Jagiellonia Białystok,-,Górnik Zabrze,2:1 (2:1),
212,12/03/2023,11:30,Warta Poznań,-,KS Cracovia,0:0 (0:0),
213,,14:00,Piast Gliwice,-,Lech Poznań,1:1 (0:0),
214,,16:30,Legia Warszawa,-,FKS Stal Mielec,2:0 (0:0),
215,13/03/2023,18:00,Wisła Płock,-,Widzew Łódź,1:1 (1:0),
216,17/03/2023,17:00,Górnik Zabrze,-,Wisła Płock,-:-,
217,,19:30,Radomiak Radom,-,Legia Warszawa,-:-,
218,18/03/2023,11:30,Śląsk Wrocław,-,FKS Stal Mielec,-:-,
219,,14:00,Jagiellonia Białystok,-,Zagłębie Lubin,-:-,
220,,16:30,Pogoń Szczecin,-,Korona Kielce,-:-,
221,,19:00,Raków Częstochowa,-,KS Cracovia,-:-,
222,19/03/2023,11:30,Warta Poznań,-,Lechia Gdańsk,-:-,
223,,14:00,Miedź Legnica,-,Piast Gliwice,-:-,
224,,16:30,Widzew Łódź,-,Lech Poznań,-:-,
225,31/03/2023,17:00,Zagłębie Lubin,-,Warta Poznań,-:-,
226,,19:30,Piast Gliwice,-,Górnik Zabrze,-:-,
227,01/04/2023,14:00,Korona Kielce,-,Miedź Legnica,-:-,
228,,16:30,Legia Warszawa,-,Raków Częstochowa,-:-,
229,,19:00,Lechia Gdańsk,-,Śląsk Wrocław,-:-,
230,02/04/2023,11:30,Wisła Płock,-,Radomiak Radom,-:-,
231,,14:00,KS Cracovia,-,Widzew Łódź,-:-,
232,,16:30,Lech Poznań,-,Pogoń Szczecin,-:-,
233,03/04/2023,18:00,FKS Stal Mielec,-,Jagiellonia Białystok,-:-,
234,06/04/2023,17:00,Śląsk Wrocław,-,Piast Gliwice,-:-,
235,,19:30,Górnik Zabrze,-,Korona Kielce,-:-,
236,08/04/2023,11:30,Wisła Płock,-,Zagłębie Lubin,-:-,
237,,14:00,Widzew Łódź,-,FKS Stal Mielec,-:-,
238,,16:30,Pogoń Szczecin,-,KS Cracovia,-:-,
239,,19:00,Lech Poznań,-,Warta Poznań,-:-,
240,10/04/2023,14:00,Jagiellonia Białystok,-,Lechia Gdańsk,-:-,
241,,16:30,Radomiak Radom,-,Raków Częstochowa,-:-,
242,,19:00,Miedź Legnica,-,Legia Warszawa,-:-,
243,15/04/2023,,FKS Stal Mielec,-,Miedź Legnica,-:-,
244,,,Korona Kielce,-,Jagiellonia Białystok,-:-,
245,,,KS Cracovia,-,Radomiak Radom,-:-,
246,,,Lechia Gdańsk,-,Pogoń Szczecin,-:-,
247,,,Legia Warszawa,-,Lech Poznań,-:-,
248,,,Piast Gliwice,-,Wisła Płock,-:-,
249,,,Raków Częstochowa,-,Widzew Łódź,-:-,
