,data,godzina,dom,-,wyjazd,wynik,pusta
133,,19:30,Wisła Kraków,-,Śląsk Wrocław,1:5 (0:1),
134,27/08/2016,14:30,Pogoń Szczecin,-,KS Cracovia,1:1 (0:1),
135,,17:00,Górnik Łęczna,-,Jagiellonia Białystok,0:2 (0:2),
136,,19:30,Arka Gdynia,-,Zagłębie Lubin,1:1 (0:1),
137,28/08/2016,14:30,Lech Poznań,-,Piast Gliwice,2:0 (0:0),
138,,17:00,Lechia Gdańsk,-,Bruk-Bet Termalica Nieciecza,1:2 (0:1),
139,,17:00,Ruch Chorzów,-,Legia Warszawa,0:2 (0:1),
140,09/09/2016,17:00,KS Cracovia,-,Lechia Gdańsk,0:1 (0:1),
141,,19:30,Zagłębie Lubin,-,Wisła Płock,1:2 (0:2),
142,10/09/2016,14:30,Piast Gliwice,-,Górnik Łęczna,3:3 (3:1),
143,,17:00,Korona Kielce,-,Arka Gdynia,1:0 (1:0),
144,,19:30,Bruk-Bet Termalica Nieciecza,-,Legia Warszawa,2:1 (1:0),
145,11/09/2016,14:30,Lech Poznań,-,Pogoń Szczecin,3:1 (2:1),
146,,17:00,Jagiellonia Białystok,-,Wisła Kraków,2:1 (1:0),
147,12/09/2016,17:00,Śląsk Wrocław,-,Ruch Chorzów,1:2 (0:1),
148,16/09/2016,17:00,Ruch Chorzów,-,Bruk-Bet Termalica Nieciecza,0:1 (0:1),
149,,19:30,Śląsk Wrocław,-,Jagiellonia Białystok,0:4 (0:2),
150,17/09/2016,14:30,Górnik Łęczna,-,Korona Kielce,4:0 (2:0),
151,,17:00,Wisła Płock,-,Pogoń Szczecin,2:0 (0:0),
152,,19:30,Wisła Kraków,-,Piast Gliwice,1:0 (0:0),
153,18/09/2016,14:30,Lechia Gdańsk,-,Lech Poznań,2:1 (1:1),
154,,17:00,Legia Warszawa,-,Zagłębie Lubin,2:3 (0:2),
155,19/09/2016,17:00,Arka Gdynia,-,KS Cracovia,1:0 (0:0),
156,23/09/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Wisła Płock,0:0 (0:0),
157,,19:30,Wisła Kraków,-,Legia Warszawa,0:0 (0:0),
158,24/09/2016,14:30,Pogoń Szczecin,-,Górnik Łęczna,1:1 (0:1),
159,,17:00,Lechia Gdańsk,-,Ruch Chorzów,2:1 (2:1),
160,,19:30,Zagłębie Lubin,-,KS Cracovia,1:1 (1:1),
161,25/09/2016,14:30,Korona Kielce,-,Jagiellonia Białystok,1:2 (1:0),
162,,17:00,Lech Poznań,-,Arka Gdynia,0:0 (0:0),
163,26/09/2016,17:00,Piast Gliwice,-,Śląsk Wrocław,1:1 (0:0),
164,30/09/2016,17:00,Ruch Chorzów,-,Zagłębie Lubin,1:2 (1:1),
165,,19:30,Górnik Łęczna,-,Lech Poznań,1:2 (1:0),
166,01/10/2016,14:30,Arka Gdynia,-,Piast Gliwice,1:2 (0:1),
167,,17:00,Wisła Płock,-,Wisła Kraków,2:3 (0:2),
168,,19:30,Legia Warszawa,-,Lechia Gdańsk,3:0 (0:0),
169,02/10/2016,14:30,KS Cracovia,-,Korona Kielce,6:0 (3:0),
170,,14:30,Śląsk Wrocław,-,Bruk-Bet Termalica Nieciecza,1:2 (1:1),
171,,17:00,Jagiellonia Białystok,-,Pogoń Szczecin,0:0 (0:0),
172,14/10/2016,17:00,KS Cracovia,-,Wisła Płock,1:0 (0:0),
173,,19:30,Pogoń Szczecin,-,Legia Warszawa,3:2 (2:1),
174,15/10/2016,14:30,Górnik Łęczna,-,Arka Gdynia,0:0 (0:0),
175,,17:00,Piast Gliwice,-,Ruch Chorzów,2:1 (1:0),
176,,19:30,Zagłębie Lubin,-,Lechia Gdańsk,1:2 (0:2),
177,16/10/2016,14:30,Bruk-Bet Termalica Nieciecza,-,Jagiellonia Białystok,0:0 (0:0),
178,,17:00,Lech Poznań,-,Wisła Kraków,1:1 (0:0),
179,17/10/2016,17:00,Korona Kielce,-,Śląsk Wrocław,1:2 (0:0),
180,21/10/2016,17:00,Arka Gdynia,-,Pogoń Szczecin,0:3 (0:2),
181,,19:30,Wisła Kraków,-,Bruk-Bet Termalica Nieciecza,2:0 (1:0),
182,22/10/2016,14:30,Wisła Płock,-,Górnik Łęczna,1:2 (0:0),
183,,17:00,Śląsk Wrocław,-,KS Cracovia,2:2 (1:0),
184,,19:30,Legia Warszawa,-,Lech Poznań,2:1 (0:0),
185,23/10/2016,14:30,Lechia Gdańsk,-,Piast Gliwice,3:2 (1:1),
186,,17:00,Jagiellonia Białystok,-,Zagłębie Lubin,1:2 (1:0),
187,24/10/2016,17:00,Ruch Chorzów,-,Korona Kielce,4:0 (1:0),
188,28/10/2016,17:00,Piast Gliwice,-,Bruk-Bet Termalica Nieciecza,2:1 (1:0),
189,,19:30,Korona Kielce,-,Legia Warszawa,2:4 (2:1),
190,29/10/2016,14:30,Górnik Łęczna,-,Śląsk Wrocław,0:3 (0:3),
191,,17:00,Pogoń Szczecin,-,Ruch Chorzów,2:1 (1:1),
192,,19:30,Lech Poznań,-,Wisła Płock,2:0 (1:0),
193,30/10/2016,14:30,KS Cracovia,-,Jagiellonia Białystok,1:3 (0:1),
194,,17:00,Arka Gdynia,-,Lechia Gdańsk,1:1 (0:1),
195,31/10/2016,17:00,Zagłębie Lubin,-,Wisła Kraków,2:2 (1:1),
196,04/11/2016,17:00,Wisła Płock,-,Arka Gdynia,0:0 (0:0),
197,,19:30,Ruch Chorzów,-,Lech Poznań,0:5 (0:2),
198,05/11/2016,14:30,Bruk-Bet Termalica Nieciecza,-,Korona Kielce,1:3 (1:1),
199,,17:00,Jagiellonia Białystok,-,Piast Gliwice,2:0 (1:0),
200,,19:30,Lechia Gdańsk,-,Pogoń Szczecin,1:1 (1:1),
201,06/11/2016,14:30,Śląsk Wrocław,-,Zagłębie Lubin,2:1 (0:1),
202,,14:30,Wisła Kraków,-,Górnik Łęczna,3:2 (2:1),
203,,17:00,Legia Warszawa,-,KS Cracovia,2:0 (1:0),
204,18/11/2016,17:00,Piast Gliwice,-,KS Cracovia,2:2 (0:1),
205,,19:30,Jagiellonia Białystok,-,Legia Warszawa,1:4 (0:1),
206,19/11/2016,14:30,Górnik Łęczna,-,Ruch Chorzów,0:4 (0:2),
207,,17:00,Pogoń Szczecin,-,Wisła Kraków,6:2 (4:1),
208,,19:30,Lechia Gdańsk,-,Wisła Płock,2:1 (0:1),
209,20/11/2016,14:30,Arka Gdynia,-,Bruk-Bet Termalica Nieciecza,1:3 (1:2),
210,,17:00,Lech Poznań,-,Śląsk Wrocław,3:0 (1:0),
211,21/11/2016,17:00,Korona Kielce,-,Zagłębie Lubin,2:1 (2:0),
212,25/11/2016,17:00,KS Cracovia,-,Bruk-Bet Termalica Nieciecza,1:3 (0:2),
213,,19:30,Zagłębie Lubin,-,Lech Poznań,0:3 (0:3),
214,26/11/2016,14:30,Korona Kielce,-,Pogoń Szczecin,4:1 (2:0),
215,,17:00,Ruch Chorzów,-,Jagiellonia Białystok,1:2 (0:2),
216,,19:30,Wisła Kraków,-,Arka Gdynia,5:1 (3:1),
217,27/11/2016,14:30,Wisła Płock,-,Piast Gliwice,0:0 (0:0),
218,,17:00,Śląsk Wrocław,-,Legia Warszawa,0:4 (0:4),
219,28/11/2016,17:00,Lechia Gdańsk,-,Górnik Łęczna,3:0 (1:0),
220,02/12/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Zagłębie Lubin,0:1 (0:1),
221,,19:30,Legia Warszawa,-,Wisła Płock,2:2 (1:0),
222,03/12/2016,14:30,Piast Gliwice,-,Korona Kielce,1:0 (0:0),
223,,17:00,Śląsk Wrocław,-,Pogoń Szczecin,1:1 (1:1),
224,,19:30,Wisła Kraków,-,Lechia Gdańsk,3:0 (2:0),
225,04/12/2016,14:30,KS Cracovia,-,Górnik Łęczna,1:1 (0:0),
226,,17:00,Jagiellonia Białystok,-,Lech Poznań,2:1 (1:1),
227,05/12/2016,17:00,Ruch Chorzów,-,Arka Gdynia,1:2 (0:2),
228,09/12/2016,17:00,Pogoń Szczecin,-,Zagłębie Lubin,1:1 (0:0),
229,,19:30,Lechia Gdańsk,-,Śląsk Wrocław,3:0 (1:0),
230,10/12/2016,14:30,Górnik Łęczna,-,Bruk-Bet Termalica Nieciecza,3:0 (0:0),
231,,17:00,Wisła Płock,-,Ruch Chorzów,4:3 (2:2),
232,,19:30,Wisła Kraków,-,KS Cracovia,1:1 (1:0),
233,11/12/2016,14:30,Lech Poznań,-,Korona Kielce,1:0 (0:0),
234,,17:00,Piast Gliwice,-,Legia Warszawa,1:5 (0:2),
235,12/12/2016,17:00,Arka Gdynia,-,Jagiellonia Białystok,2:3 (2:1),
236,16/12/2016,17:00,Bruk-Bet Termalica Nieciecza,-,Pogoń Szczecin,2:0 (1:0),
237,,19:30,Ruch Chorzów,-,Wisła Kraków,1:0 (0:0),
238,17/12/2016,14:30,Korona Kielce,-,Lechia Gdańsk,2:0 (0:0),
239,,17:00,Jagiellonia Białystok,-,Wisła Płock,1:2 (0:0),
240,,19:30,KS Cracovia,-,Lech Poznań,1:1 (1:0),
241,18/12/2016,14:30,Śląsk Wrocław,-,Arka Gdynia,0:2 (0:0),
242,,17:00,Legia Warszawa,-,Górnik Łęczna,5:0 (2:0),
243,19/12/2016,17:00,Zagłębie Lubin,-,Piast Gliwice,2:1 (1:1),
244,10/02/2017,17:00,Ruch Chorzów,-,KS Cracovia,0:1 (0:0),
245,,19:30,Lech Poznań,-,Bruk-Bet Termalica Nieciecza,3:0 (1:0),
246,11/02/2017,17:00,Wisła Kraków,-,Korona Kielce,2:0 (1:0),
247,,19:30,Arka Gdynia,-,Legia Warszawa,0:1 (0:1),
248,12/02/2017,14:30,Wisła Płock,-,Śląsk Wrocław,1:1 (0:0),
249,,17:00,Lechia Gdańsk,-,Jagiellonia Białystok,3:0 (1:0),
250,13/02/2017,17:00,Pogoń Szczecin,-,Piast Gliwice,2:1 (0:1),
251,07/03/2017,17:00,Górnik Łęczna,-,Zagłębie Lubin,0:1 (0:1),
252,17/02/2017,17:00,Jagiellonia Białystok,-,Górnik Łęczna,5:0 (2:0),
253,,19:30,Bruk-Bet Termalica Nieciecza,-,Lechia Gdańsk,1:1 (0:0),
254,18/02/2017,14:30,Korona Kielce,-,Wisła Płock,4:2 (2:1),
255,,17:00,Śląsk Wrocław,-,Wisła Kraków,1:0 (0:0),
256,,19:30,Piast Gliwice,-,Lech Poznań,0:3 (0:2),
257,19/02/2017,14:30,KS Cracovia,-,Pogoń Szczecin,1:1 (0:0),
258,,17:00,Legia Warszawa,-,Ruch Chorzów,1:3 (0:2),
259,20/02/2017,17:00,Zagłębie Lubin,-,Arka Gdynia,1:0 (0:0),
260,24/02/2017,17:00,Arka Gdynia,-,Korona Kielce,4:1 (1:1),
261,,19:30,Pogoń Szczecin,-,Lech Poznań,0:3 (0:2),
262,25/02/2017,14:30,Wisła Płock,-,Zagłębie Lubin,2:1 (1:1),
263,,17:00,Lechia Gdańsk,-,KS Cracovia,4:2 (1:1),
264,,19:30,Wisła Kraków,-,Jagiellonia Białystok,3:1 (2:0),
265,26/02/2017,14:30,Górnik Łęczna,-,Piast Gliwice,1:0 (0:0),
266,,17:00,Legia Warszawa,-,Bruk-Bet Termalica Nieciecza,1:1 (1:1),
267,27/02/2017,17:00,Ruch Chorzów,-,Śląsk Wrocław,2:0 (1:0),
268,03/03/2017,17:00,Korona Kielce,-,Górnik Łęczna,2:1 (0:0),
269,,19:30,Zagłębie Lubin,-,Legia Warszawa,1:3 (0:1),
270,04/03/2017,14:30,KS Cracovia,-,Arka Gdynia,1:1 (0:1),
271,,17:00,Bruk-Bet Termalica Nieciecza,-,Ruch Chorzów,0:0 (0:0),
272,,19:30,Piast Gliwice,-,Wisła Kraków,1:2 (0:0),
273,05/03/2017,14:30,Jagiellonia Białystok,-,Śląsk Wrocław,4:1 (2:1),
274,,17:00,Lech Poznań,-,Lechia Gdańsk,1:0 (0:0),
275,06/03/2017,17:00,Pogoń Szczecin,-,Wisła Płock,1:1 (0:1),
276,10/03/2017,17:10,Śląsk Wrocław,-,Piast Gliwice,3:4 (0:1),
277,,19:30,Arka Gdynia,-,Lech Poznań,1:4 (0:3),
278,11/03/2017,14:30,Wisła Płock,-,Bruk-Bet Termalica Nieciecza,1:0 (1:0),
279,,17:00,Ruch Chorzów,-,Lechia Gdańsk,2:1 (0:0),
280,,19:30,Jagiellonia Białystok,-,Korona Kielce,4:1 (2:1),
281,12/03/2017,14:30,Górnik Łęczna,-,Pogoń Szczecin,2:2 (1:2),
282,,17:00,Legia Warszawa,-,Wisła Kraków,1:0 (1:0),
283,13/03/2017,17:00,KS Cracovia,-,Zagłębie Lubin,1:1 (0:1),
284,17/03/2017,17:00,Bruk-Bet Termalica Nieciecza,-,Śląsk Wrocław,1:2 (1:1),
285,,19:30,Wisła Kraków,-,Wisła Płock,3:2 (1:1),
286,18/03/2017,14:30,Piast Gliwice,-,Arka Gdynia,3:2 (1:0),
287,,17:00,Zagłębie Lubin,-,Ruch Chorzów,0:1 (0:0),
288,,19:30,Pogoń Szczecin,-,Jagiellonia Białystok,0:0 (0:0),
289,19/03/2017,14:30,Korona Kielce,-,KS Cracovia,3:0 (1:0),
290,,14:30,Lech Poznań,-,Górnik Łęczna,0:0 (0:0),
291,,17:00,Lechia Gdańsk,-,Legia Warszawa,1:2 (0:0),
292,31/03/2017,17:00,Śląsk Wrocław,-,Korona Kielce,3:0 (1:0),
293,,19:30,Wisła Kraków,-,Lech Poznań,0:0 (0:0),
294,01/04/2017,14:30,Arka Gdynia,-,Górnik Łęczna,2:4 (0:2),
295,,17:00,Wisła Płock,-,KS Cracovia,4:1 (3:1),
296,,19:30,Legia Warszawa,-,Pogoń Szczecin,2:0 (0:0),
297,02/04/2017,14:30,Jagiellonia Białystok,-,Bruk-Bet Termalica Nieciecza,1:0 (0:0),
298,,17:00,Lechia Gdańsk,-,Zagłębie Lubin,1:0 (1:0),
299,03/04/2017,17:00,Ruch Chorzów,-,Piast Gliwice,0:0 (0:0),
300,07/04/2017,17:00,KS Cracovia,-,Śląsk Wrocław,1:0 (1:0),
301,,19:30,Zagłębie Lubin,-,Jagiellonia Białystok,3:4 (1:2),
302,08/04/2017,14:30,Górnik Łęczna,-,Wisła Płock,2:3 (2:0),
303,,17:00,Pogoń Szczecin,-,Arka Gdynia,5:1 (1:1),
304,,19:30,Bruk-Bet Termalica Nieciecza,-,Wisła Kraków,2:3 (1:1),
